Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Temperature,Humidity
2017-01-01,Albury,15.5,31.6,0.0,,,WSW,39.0,E,W,9.0,24.0,63.0,25.0,1005.1,1004.1,,,23.4,31.4,No,No,30,70
2017-01-01,BadgerysCreek,21.6,28.4,0.0,,,SW,33.0,NNE,NNW,4.0,7.0,80.0,65.0,1007.4,1005.4,,,24.0,27.6,No,No,30,70
2017-01-01,Cobar,25.6,29.5,0.6,,,S,31.0,S,SSE,11.0,13.0,,,1004.6,1004.9,8.0,7.0,26.3,28.7,No,No,30,70
2017-01-01,CoffsHarbour,22.8,28.3,0.0,,,SSW,35.0,SSE,SSE,15.0,17.0,76.0,83.0,1005.7,1004.9,,3.0,27.3,26.0,No,Yes,30,70
2017-01-01,Moree,27.3,43.0,0.0,,,SSW,48.0,N,N,26.0,17.0,39.0,22.0,1004.0,1000.4,,1.0,32.9,39.9,No,Yes,30,70
2017-01-01,Newcastle,22.8,28.0,0.0,,,,,SE,,9.0,,82.0,,,,8.0,,25.0,,No,Yes,30,70
2017-01-01,NorahHead,21.4,26.3,0.0,,,N,28.0,SSW,SSE,9.0,7.0,90.0,88.0,1007.2,1005.4,,,23.5,24.0,No,Yes,30,70
2017-01-01,NorfolkIsland,17.5,24.8,,,,ENE,28.0,ENE,E,19.0,13.0,63.0,65.0,1013.4,1012.7,8.0,8.0,22.6,22.3,,,30,70
2017-01-01,Penrith,22.2,27.8,0.0,,,SW,22.0,NNW,SW,4.0,9.0,77.0,69.0,,,,,24.0,26.9,No,Yes,30,70
2017-01-01,Richmond,22.6,28.7,0.0,7.2,,S,22.0,N,NE,2.0,13.0,76.0,67.0,1007.3,1004.9,8.0,6.0,24.4,27.4,No,No,30,70
2017-01-01,Sydney,22.7,26.6,0.0,6.8,0.0,E,24.0,E,E,9.0,19.0,70.0,70.0,1007.4,1005.5,7.0,8.0,24.6,24.9,No,No,30,70
2017-01-01,SydneyAirport,21.6,27.2,0.0,6.8,0.0,ENE,31.0,ESE,E,9.0,24.0,72.0,72.0,1007.4,1005.5,7.0,8.0,24.6,25.4,No,No,30,70
2017-01-01,WaggaWagga,15.9,31.5,,,,W,37.0,E,WNW,11.0,28.0,60.0,27.0,1005.3,1004.6,8.0,4.0,22.0,29.5,,Yes,30,70
2017-01-01,Williamtown,22.5,27.5,0.0,,,S,30.0,SSE,SSE,11.0,17.0,83.0,64.0,1006.9,1004.9,8.0,6.0,24.0,27.3,No,Yes,30,70
2017-01-01,Wollongong,20.8,24.1,0.2,,,NE,31.0,N,N,4.0,11.0,86.0,86.0,1007.4,1005.8,8.0,7.0,22.0,21.3,No,No,30,70
